epoch,global_step,phase,token_ce,logit_wug,logit_wugs,logit_gap
1,1,singular,13.0625,16.875,13.3125,3.5625
1,2,plural,14.0,18.875,10.1875,8.6875
1,3,singular,6.71875,17.5,9.625,7.875
1,4,plural,8.3125,22.5,15.375,7.125
1,5,singular,8.0625,17.0,15.25,1.75
1,6,plural,16.375,20.875,14.5625,6.3125
1,7,singular,14.4375,10.375,11.625,-1.25
1,8,plural,5.84375,25.0,20.25,4.75
1,9,singular,11.1875,13.5,15.25,-1.75
1,10,plural,7.9375,23.25,19.25,4.0
1,11,singular,0.546875,24.375,16.875,7.5
1,12,plural,0.0654296875,26.0,28.75,-2.75
1,13,singular,1.328125,23.875,18.375,5.5
1,14,plural,0.5390625,22.25,25.375,-3.125
1,15,singular,0.193359375,30.625,28.25,2.375
1,16,plural,6.25,28.5,22.375,6.125
1,17,singular,1.0546875,24.75,24.125,0.625
1,18,plural,5.125,33.5,28.375,5.125
1,19,singular,13.5,24.5,38.0,-13.5
1,20,plural,0.1982421875,26.25,28.0,-1.75
1,21,singular,0.2294921875,31.875,30.375,1.5
1,22,plural,0.06591796875,28.625,31.375,-2.75
1,23,singular,0.005126953125,30.375,22.375,8.0
1,24,plural,4.65625,33.5,28.875,4.625
1,25,singular,4.90625,24.875,29.75,-4.875
1,26,plural,0.33984375,26.25,30.25,-4.0
1,27,singular,0.0308837890625,29.125,25.5,3.625
1,28,plural,0.01177978515625,29.5,34.25,-4.75
1,29,singular,0.0069580078125,31.0,25.875,5.125
1,30,plural,0.004486083984375,28.0,33.75,-5.75
2,31,singular,0.006134033203125,31.125,25.875,5.25
2,32,plural,0.0120849609375,26.125,33.75,-7.625
2,33,singular,1.890625,23.625,24.625,-1.0
2,34,plural,0.333984375,27.5,28.5,-1.0
2,35,singular,0.0069580078125,30.375,24.25,6.125
2,36,plural,0.00104522705078125,27.375,34.25,-6.875
2,37,singular,3.65625,30.625,34.25,-3.625
2,38,plural,3.171875,29.75,26.625,3.125
2,39,singular,1.0609626770019531e-05,35.5,17.375,18.125
2,40,plural,0.00811767578125,28.625,33.5,-4.875
2,41,singular,0.6015625,30.125,21.75,8.375
2,42,plural,0.00469970703125,28.125,33.5,-5.375
2,43,singular,1.621246337890625e-05,35.0,22.25,12.75
2,44,plural,14.75,40.5,25.75,14.75
2,45,singular,0.06689453125,27.125,22.875,4.25
2,46,plural,0.0208740234375,25.75,30.75,-5.0
2,47,singular,5.25,30.75,36.0,-5.25
2,48,plural,0.00122833251953125,28.75,35.5,-6.75
2,49,singular,2.7418136596679688e-06,38.0,23.375,14.625
2,50,plural,0.98046875,25.875,30.375,-4.5
2,51,singular,0.0028076171875,30.75,21.75,9.0
2,52,plural,11.0,40.0,29.0,11.0
2,53,singular,0.146484375,30.875,29.0,1.875
2,54,plural,7.033348083496094e-06,27.125,39.0,-11.875
2,55,singular,6.375,31.125,37.5,-6.375
2,56,plural,0.0068359375,31.25,36.25,-5.0
2,57,singular,4.9591064453125e-05,35.25,24.0,11.25
2,58,plural,11.625,40.25,28.625,11.625
2,59,singular,0.00017070770263671875,33.75,23.25,10.5
2,60,plural,1.9669532775878906e-05,22.125,38.0,-15.875
3,61,singular,0.0172119140625,32.0,27.875,4.125
3,62,plural,1.0251998901367188e-05,27.25,38.75,-11.5
3,63,singular,0.006805419921875,33.5,28.5,5.0
3,64,plural,0.0033416748046875,31.5,37.25,-5.75
3,65,singular,5.75,31.5,37.25,-5.75
3,66,plural,0.006744384765625,31.0,36.0,-5.0
3,67,singular,3.933906555175781e-06,41.25,27.5,13.75
3,68,plural,0.0003032684326171875,29.375,37.5,-8.125
3,69,singular,3.337860107421875e-06,37.5,19.375,18.125
3,70,plural,0.00104522705078125,28.625,35.5,-6.875
3,71,singular,0.00689697265625,30.0,23.75,6.25
3,72,plural,0.0001983642578125,24.375,35.75,-11.375
3,73,singular,3.933906555175781e-06,41.25,27.5,13.75
3,74,plural,0.01263427734375,31.625,36.0,-4.375
3,75,singular,1.4066696166992188e-05,35.75,24.0,11.75
3,76,plural,0.000335693359375,29.25,37.25,-8.0
3,77,singular,0.004913330078125,35.25,24.0,11.25
3,78,plural,0.578125,30.375,30.625,-0.25
3,79,singular,0.000698089599609375,33.5,25.875,7.625
3,80,plural,0.0002307891845703125,23.375,39.25,-15.875
3,81,singular,2.1696090698242188e-05,37.25,26.25,11.0
3,82,plural,8.125,38.5,30.375,8.125
3,83,singular,0.26171875,27.125,25.5,1.625
3,84,plural,2.384185791015625e-07,19.75,40.5,-20.75
3,85,singular,2.71875,25.0,27.625,-2.625
3,86,plural,1.4066696166992188e-05,25.5,40.5,-15.0
3,87,singular,3.933906555175781e-06,36.5,19.375,17.125
3,88,plural,1.9311904907226562e-05,28.875,40.25,-11.375
3,89,singular,0.002044677734375,33.0,26.625,6.375
3,90,plural,0.01080322265625,27.375,32.25,-4.875
4,91,singular,3.933906555175781e-06,36.5,19.375,17.125
4,92,plural,4.00543212890625e-05,21.75,41.0,-19.25
4,93,singular,11.375,28.875,40.25,-11.375
4,94,plural,0.006744384765625,29.75,34.75,-5.0
4,95,singular,3.933906555175781e-06,37.25,16.875,20.375
4,96,plural,12.875,41.0,28.125,12.875
4,97,singular,7.343292236328125e-05,33.75,19.0,14.75
4,98,plural,4.410743713378906e-06,23.5,37.5,-14.0
4,99,singular,0.000835418701171875,33.5,26.125,7.375
4,100,plural,0.00029754638671875,30.5,38.75,-8.25
4,101,singular,0.0022430419921875,31.125,23.75,7.375
4,102,plural,1.0967254638671875e-05,28.0,39.75,-11.75
4,103,singular,0.09130859375,31.25,28.875,2.375
4,104,plural,7.152557373046875e-07,26.25,40.75,-14.5
4,105,singular,6.875,31.125,38.0,-6.875
4,106,plural,2.140625,30.75,28.75,2.0
4,107,singular,7.510185241699219e-06,36.25,23.75,12.5
4,108,plural,1.430511474609375e-06,26.5,40.0,-13.5
4,109,singular,3.8623809814453125e-05,35.5,24.0,11.5
4,110,plural,0.00015735626220703125,27.75,38.25,-10.5
4,111,singular,9.059906005859375e-06,40.75,28.375,12.375
4,112,plural,0.000804901123046875,26.625,34.75,-8.125
4,113,singular,1.430511474609375e-06,38.25,24.25,14.0
4,114,plural,3.0994415283203125e-06,22.5,37.75,-15.25
4,115,singular,0.0284423828125,33.5,26.0,7.5
4,116,plural,4.57763671875e-05,28.25,38.25,-10.0
4,117,singular,9.5367431640625e-07,38.75,18.75,20.0
4,118,plural,12.625,41.0,28.375,12.625
4,119,singular,0.00010442733764648438,36.75,27.5,9.25
4,120,plural,0.0,24.25,43.0,-18.75
5,121,singular,0.004547119140625,29.875,23.0,6.875
5,122,plural,1.1920928955078125e-07,24.25,40.5,-16.25
5,123,singular,0.0810546875,31.125,28.625,2.5
5,124,plural,1.3947486877441406e-05,28.75,40.5,-11.75
5,125,singular,0.020751953125,32.0,28.125,3.875
5,126,plural,3.337860107421875e-05,23.875,37.5,-13.625
5,127,singular,0.0001354217529296875,33.75,20.375,13.375
5,128,plural,1.9311904907226562e-05,28.875,40.25,-11.375
5,129,singular,0.00144195556640625,33.25,26.5,6.75
5,130,plural,1.71661376953125e-05,22.25,37.5,-15.25
5,131,singular,0.95703125,30.125,29.875,0.25
5,132,plural,3.0517578125e-05,29.25,39.75,-10.5
5,133,singular,0.000934600830078125,32.0,23.75,8.25
5,134,plural,3.5762786865234375e-07,21.375,39.5,-18.125
5,135,singular,4.76837158203125e-07,38.5,18.375,20.125
5,136,plural,0.00677490234375,33.0,38.0,-5.0
5,137,singular,7.152557373046875e-07,40.0,25.125,14.875
5,138,plural,7.271766662597656e-06,25.0,37.5,-12.5
5,139,singular,5.25,32.75,38.0,-5.25
5,140,plural,0.0028076171875,30.875,36.75,-5.875
5,141,singular,0.0,46.75,23.625,23.125
5,142,plural,0.0791015625,32.5,35.0,-2.5
5,143,singular,0.0,42.25,21.5,20.75
5,144,plural,0.006439208984375,28.375,36.0,-7.625
5,145,singular,3.5762786865234375e-07,40.75,20.625,20.125
5,146,plural,0.04052734375,32.0,35.25,-3.25
5,147,singular,0.0,43.0,15.4375,27.5625
5,148,plural,0.00762939453125,31.875,36.75,-4.875
5,149,singular,0.0,46.0,24.25,21.75
5,150,plural,0.000339508056640625,30.25,38.25,-8.0
6,151,singular,3.5762786865234375e-07,40.5,20.875,19.625
6,152,plural,0.00103759765625,29.375,36.25,-6.875
6,153,singular,0.0,42.0,19.0,23.0
6,154,plural,21.75,46.0,24.25,21.75
6,155,singular,8.296966552734375e-05,35.5,26.0,9.5
6,156,plural,0.0,25.5,42.5,-17.0
6,157,singular,0.00012493133544921875,33.25,20.875,12.375
6,158,plural,5.960464477539062e-07,27.0,41.5,-14.5
6,159,singular,6.5,32.0,38.5,-6.5
6,160,plural,17.625,44.0,26.375,17.625
6,161,singular,1.5497207641601562e-06,39.5,25.75,13.75
6,162,plural,0.126953125,34.25,36.25,-2.0
6,163,singular,3.0040740966796875e-05,35.25,19.5,15.75
6,164,plural,2.384185791015625e-06,24.25,38.25,-14.0
6,165,singular,2.6226043701171875e-06,37.75,20.75,17.0
6,166,plural,1.430511474609375e-06,27.625,41.5,-13.875
6,167,singular,5.0,32.75,37.75,-5.0
6,168,plural,0.00408935546875,27.75,33.5,-5.75
6,169,singular,1.1920928955078125e-07,41.0,20.125,20.875
6,170,plural,3.337860107421875e-06,23.25,37.75,-14.5
6,171,singular,4.38690185546875e-05,34.75,20.875,13.875
6,172,plural,6.771087646484375e-05,29.375,39.0,-9.625
6,173,singular,3.4570693969726562e-06,42.5,19.875,22.625
6,174,plural,0.0003814697265625,29.875,37.75,-7.875
6,175,singular,0.0,41.0,15.8125,25.1875
6,176,plural,0.000690460205078125,26.875,35.0,-8.125
6,177,singular,4.76837158203125e-07,43.5,26.875,16.625
6,178,plural,0.000820159912109375,26.75,38.0,-11.25
6,179,singular,0.0,41.0,22.75,18.25
6,180,plural,0.0002689361572265625,29.375,38.25,-8.875
7,181,singular,0.0,41.0,15.8125,25.1875
7,182,plural,3.337860107421875e-06,23.25,37.75,-14.5
7,183,singular,0.0,43.0,22.25,20.75
7,184,plural,16.625,43.5,26.875,16.625
7,185,singular,0.162109375,31.625,29.875,1.75
7,186,plural,1.430511474609375e-06,24.75,42.75,-18.0
7,187,singular,2.6226043701171875e-06,37.75,21.0,16.75
7,188,plural,1.1920928955078125e-07,25.75,42.0,-16.25
7,189,singular,8.5,31.0,39.5,-8.5
7,190,plural,15.125,42.75,27.625,15.125
7,191,singular,0.00011587142944335938,39.0,23.375,15.625
7,192,plural,3.337860107421875e-06,28.125,41.0,-12.875
7,193,singular,4.25,33.0,37.25,-4.25
7,194,plural,0.0010528564453125,26.625,37.75,-11.125
7,195,singular,1.1920928955078125e-07,41.0,20.0,21.0
7,196,plural,0.00823974609375,28.0,33.0,-5.0
7,197,singular,3.4570693969726562e-06,36.75,17.5,19.25
7,198,plural,14.5,42.5,28.0,14.5
7,199,singular,1.8477439880371094e-05,36.25,25.125,11.125
7,200,plural,1.6689300537109375e-06,27.5,41.0,-13.5
7,201,singular,6.198883056640625e-06,37.25,23.75,13.5
7,202,plural,1.0728836059570312e-06,27.0,40.75,-13.75
7,203,singular,3.0040740966796875e-05,35.25,19.5,15.75
7,204,plural,0.0,25.5,42.75,-17.25
7,205,singular,0.00119781494140625,31.75,23.75,8.0
7,206,plural,5.960464477539062e-07,25.5,40.0,-14.5
7,207,singular,5.0,32.75,37.75,-5.0
7,208,plural,0.04345703125,29.625,32.75,-3.125
7,209,singular,0.0,41.25,22.5,18.75
7,210,plural,0.00046539306640625,26.5,35.25,-8.75
8,211,singular,3.5762786865234375e-07,40.25,21.125,19.125
8,212,plural,0.00020599365234375,28.5,37.0,-8.5
8,213,singular,2.1457672119140625e-06,43.0,19.625,23.375
8,214,plural,0.0002689361572265625,29.375,38.25,-8.875
8,215,singular,0.0,41.0,15.6875,25.3125
8,216,plural,4.673004150390625e-05,29.25,39.25,-10.0
8,217,singular,1.1920928955078125e-07,41.25,19.875,21.375
8,218,plural,0.006866455078125,28.75,33.75,-5.0
8,219,singular,1.430511474609375e-06,38.25,16.5,21.75
8,220,plural,0.002838134765625,31.625,37.5,-5.875
8,221,singular,0.0,41.25,19.75,21.5
8,222,plural,2.5033950805664062e-06,23.0,38.0,-15.0
8,223,singular,4.887580871582031e-06,36.5,17.625,18.875
8,224,plural,16.625,43.5,26.875,16.625
8,225,singular,0.0004520416259765625,34.5,26.75,7.75
8,226,plural,1.2159347534179688e-05,23.375,38.5,-15.125
