epoch,global_step,phase,token_ce,logit_wug,logit_wugs,logit_gap
1,1,singular,11.625,13.75,7.5625,6.1875
1,2,plural,14.75,20.25,13.3125,6.9375
1,3,singular,10.5,17.625,9.1875,8.4375
1,4,plural,14.875,23.875,19.625,4.25
1,5,singular,2.5625,25.25,23.375,1.875
1,6,plural,9.625,26.5,18.0,8.5
1,7,singular,7.75,17.125,15.5,1.625
1,8,plural,6.1875,25.125,22.0,3.125
1,9,singular,12.9375,10.6875,13.75,-3.0625
1,10,plural,8.0,23.875,23.625,0.25
1,11,singular,0.0245361328125,32.75,28.75,4.0
1,12,plural,0.7578125,22.25,23.875,-1.625
1,13,singular,4.34375,19.75,21.375,-1.625
1,14,plural,5.59375,31.5,26.75,4.75
1,15,singular,1.734375,24.875,22.625,2.25
1,16,plural,0.478515625,28.25,28.75,-0.5
1,17,singular,9.1875,17.5,16.375,1.125
1,18,plural,3.703125,26.75,23.25,3.5
1,19,singular,4.09375,20.125,22.0,-1.875
1,20,plural,5.25,39.0,33.75,5.25
1,21,singular,1.09375,25.625,26.125,-0.5
1,22,plural,0.314453125,25.625,26.875,-1.25
1,23,singular,5.75,34.0,39.75,-5.75
1,24,plural,2.15625,28.75,26.75,2.0
1,25,singular,0.81640625,28.125,22.375,5.75
1,26,plural,4.03125,39.25,35.25,4.0
1,27,singular,0.765625,26.125,25.0,1.125
1,28,plural,0.00787353515625,23.625,29.25,-5.625
1,29,singular,0.5,32.75,30.875,1.875
1,30,plural,0.023193359375,36.5,40.25,-3.75
2,31,singular,0.078125,30.875,23.75,7.125
2,32,plural,0.02978515625,36.75,40.25,-3.5
2,33,singular,0.05078125,30.125,27.125,3.0
2,34,plural,0.0181884765625,36.5,40.5,-4.0
2,35,singular,0.00958251953125,32.25,27.25,5.0
2,36,plural,0.006195068359375,26.25,31.75,-5.5
2,37,singular,4.03125,36.5,40.5,-4.0
2,38,plural,10.75,43.5,32.75,10.75
2,39,singular,0.00396728515625,31.5,22.75,8.75
2,40,plural,0.000797271728515625,27.625,35.75,-8.125
2,41,singular,0.6640625,25.5,24.625,0.875
