epoch,global_step,phase,token_ce,logit_wug,logit_wugs,logit_gap
1,3,singular,0.330078125,22.875,16.75,6.125
1,5,singular,0.392578125,23.25,15.1875,8.0625
1,6,plural,12.125,26.75,14.8125,11.9375
1,7,singular,2.96875,22.0,19.0,3.0
1,8,plural,8.4375,25.5,17.25,8.25
1,9,singular,0.23046875,25.125,20.875,4.25
1,10,plural,6.40625,26.5,20.125,6.375
1,14,plural,2.859375,23.625,21.0,2.625
1,15,singular,5.1875,20.25,25.375,-5.125
1,17,singular,0.59375,24.0,23.375,0.625
1,18,plural,1.671875,25.5,24.125,1.375
1,20,plural,0.1376953125,21.125,24.5,-3.375
1,22,plural,0.09033203125,21.0,24.875,-3.875
1,23,singular,3.171875,19.5,22.25,-2.75
1,24,plural,1.65625,25.0,23.625,1.375
1,25,singular,5.65625,21.875,23.375,-1.5
1,26,plural,0.42578125,24.125,25.25,-1.125
1,27,singular,1.3203125,25.25,26.125,-0.875
1,28,plural,5.125,27.0,23.125,3.875
1,29,singular,0.19921875,27.25,25.5,1.75
